synonyms,species,dataset
Poliolimnas_cinereus,Porzana_cinerea,itis1
Porphyriops_melanops,Gallinula_melanops,itis1
Tribonyx_mortierii,Gallinula_mortierii,itis1
Tribonyx_ventralis,Gallinula_ventralis,itis1
Amaurornis_isabellinus,Amaurornis_isabellina,itis1
Amaurornis_olivaceus,Amaurornis_olivacea,itis1
Porphyriornis_nesiotis,Gallinula_nesiotis,itis1
Notornis_mantelli,Porphyrio_mantelli,itis1
Heliopais_personata,Heliopais_personatus,itis1
Otis_tetrax,Tetrax_tetrax,itis1
Eupodotis_afra,Afrotis_afra,itis1
Eupodotis_bengalensis,Houbaropsis_bengalensis,itis1
Eupodotis_hartlaubii,Lissotis_hartlaubii,itis1
Eupodotis_melanogaster,Lissotis_melanogaster,itis1
Eupodotis_ruficrista,Lophotis_ruficrista,itis1
Sypheotides_indica,Sypheotides_indicus,itis1
Charadrius_cinctus,Erythrogonys_cinctus,itis1
Charadrius_cucullatus,Thinornis_rubricollis,itis1
Charadrius_melanops,Elseyornis_melanops,itis1
Charadrius_novaeseelandiae,Thinornis_novaeseelandiae,itis1
Eudromias_morinellus,Charadrius_morinellus,itis1
Zonibyx_modestus,Charadrius_modestus,itis1
Philohela_minor,Scolopax_minor,itis1
Capella_gallinago,Gallinago_gallinago,itis1
Actitis_macularia,Actitis_macularius,itis1
Tringa_hypoleucos,Actitis_hypoleucos,itis1
Tringa_cancellatus,Aechmorhynchus_parvirostris,itis1
Tringa_cinereus,Xenus_cinereus,itis1
Tringa_macularia,Actitis_macularius,itis1
Heteroscelus_incanus,Tringa_incana,itis1
Heteroscelus_brevipes,Tringa_brevipes,itis1
Catoptrophorus_semipalmatus,Tringa_semipalmata,itis1
Calidris_cooperi,Calidris_acuminata,itis1
Calidris_cooperi,Calidris_ferruginea,itis1
Calidris_himantopis,Calidris_himantopus,itis1
Micropalama_himantopus,Calidris_himantopus,itis1
Steganopus_tricolor,Phalaropus_tricolor,itis1
Lobipes_lobatus,Phalaropus_lobatus,itis1
Burhinus_magnirostris,Esacus_magnirostris,itis1
Cursorius_africanus,Rhinoptilus_africanus,itis1
