"synonyms","species"
"Glossopsitta_josefinae","Charmosyna_josefinae"
"Glossopsitta_margarethae","Charmosyna_margarethae"
"Glossopsitta_meeki","Charmosyna_meeki"
"Glossopsitta_multistriata","Charmosyna_multistriata"
"Glossopsitta_palmarum","Charmosyna_palmarum"
"Glossopsitta_papou","Charmosyna_papou"
"Glossopsitta_placentis","Charmosyna_placentis"
"Glossopsitta_pulchella","Charmosyna_pulchella"
"Glossopsitta_rubrigularis","Charmosyna_rubrigularis"
"Glossopsitta_rubronotata","Charmosyna_rubronotata"
"Glossopsitta_toxopei","Charmosyna_toxopei"
"Glossopsitta_wilhelminae","Charmosyna_wilhelminae"
"Probosciger_aterrinus","Probosciger_aterrimus"
"Calyptorhynchus_magnificus","Calyptorhynchus_banksii"
"Eolephus_roseicapillus","Eolophus_roseicapilla"
"Cacatura_alba","Cacatua_alba"
"Cacatura_ducorpsi","Cacatua_ducorpsii"
"Cacatura_galerita","Cacatua_galerita"
"Cacatura_goffini","Cacatua_goffiniana"
"Cacatura_haematuropygia","Cacatua_haematuropygia"
"Cacatura_leadbeateri","Cacatua_leadbeateri"
"Cacatura_moluccensis","Cacatua_moluccensis"
"Cacatura_ophthalmica","Cacatua_ophthalmica"
"Cacatura_sanguinea","Cacatua_sanguinea"
"Cacatura_sulphurea","Cacatua_sulphurea"
"Cacatura_tenuirostris","Cacatua_tenuirostris"
"Nicropsitta_bruijnii","Micropsitta_bruijnii"
"Nicropsitta_finschii","Micropsitta_finschii"
"Nicropsitta_geelvinkiana","Micropsitta_geelvinkiana"
"Nicropsitta_keiensis","Micropsitta_keiensis"
"Nicropsitta_meeki","Micropsitta_meeki"
"Opopsitta_diophthalma","Cyclopsitta_diophthalma"
"Opopsitta_gulielmiterti","Cyclopsitta_gulielmitertii"
"Psittaculirostris_edwardsi","Psittaculirostris_edwardsii"
"Psittaculirostris_salvadori","Psittaculirostris_salvadorii"
"Tanygnathus_megalorhynchus","Tanygnathus_megalorynchos"
"Polytelis_swainsoni","Polytelis_swainsonii"
"Platycercus_adelaidae","Platycercus_elegans"
"Platycerus_adscitus","Platycercus_adscitus"
"Platycerus_caledonicus","Platycercus_caledonicus"
"Platycerus_elegans","Platycercus_elegans"
"Platycerus_eximius","Platycercus_eximius"
"Platycerus_icterotis","Platycercus_icterotis"
"Platycerus_venustus","Platycercus_venustus"
"Platycercus_haematogaster","Northiella_haematogaster"
"Neophema_bourki","Neopsephotus_bourkii"
"Geopsittacus_occidentalis","Pezoporus_occidentalis"
"Stringops_habroptilus","Strigops_habroptila"
"Poicephalus_ruepellii","Poicephalus_rueppellii"
"Agapornis_cana","Agapornis_canus"
"Agapornis_nigrigensis","Agapornis_nigrigenis"
"Agapornis_personata","Agapornis_personatus"
"Agapornis_pullaria","Agapornis_pullarius"
"Agapornis_swinderniana","Agapornis_swindernianus"
"Psittacula_calthorpae","Psittacula_calthropae"
"Psittacula_cyanicephala","Psittacula_cyanocephala"
"Ara_ambigua","Ara_ambiguus"
"Ara_auricollis","Primolius_auricollis"
"Ara_chloroptera","Ara_chloropterus"
"Ara_couloni","Primolius_couloni"
"Ara_manilata","Orthopsittaca_manilata"
"Ara_maracana","Primolius_maracana"
"Ara_milstaris","Ara_militaris"
"Ara_nobilis","Diopsittaca_nobilis"
"Ara_severa","Ara_severus"
"Aratinga_acuticauda","Aratinga_acuticaudata"
"Aratinga_auricapilla","Aratinga_auricapillus"
"Aratinga_evops","Aratinga_euops"
"Aratinga_guarouba","Guaruba_guarouba"
"Aratinga_leucopthalmus","Aratinga_leucophthalma"
"Aratinga_weddelli","Aratinga_weddellii"
"Ognorhynchus_icte","Ognorhynchus_icterotis"
"Pyrrhura_hoematolis","Pyrrhura_hoematotis"
"Pyrrhura_rodogaster","Pyrrhura_perlata"
"Bolborhynchus_aurifrons","Psilopsiagon_aurifrons"
"Bolborhynchus_aymara","Psilopsiagon_aymara"
"Brotogeris_chrysopterus","Brotogeris_chrysoptera"
"Brotogeris_pyrrhopterus","Brotogeris_pyrrhoptera"
"Touit_batavica","Touit_batavicus"
"Touit_dilectissima","Touit_dilectissimus"
"Touit_melanonota","Touit_melanonotus"
"Touit_purpurata","Touit_purpuratus"
"Touit_stictoptera","Touit_stictopterus"
"Touit_surda","Touit_surdus"
"Pionites_melanocephala","Pionites_melanocephalus"
"Gypopsitta_vulturina","Pionopsitta_vulturina"
"Hapalopsittaca_amazonica","Hapalopsittaca_amazonina"
